,MLP,FCN,ResNet,Encoder,MCNN,t-LeNet,MCDCNN,CNN,TWIESN
ProximalPhalanxOutlineAgeGroup,0.5,1.3,0.8,1.3,0.0,0.0,0.8,1.6,0.5
ProximalPhalanxOutlineCorrect,1.8,0.7,0.6,1.8,0.0,0.0,1.8,2.6,0.9
ProximalPhalanxTW,0.7,0.9,1.7,1.1,0.0,1.0,1.3,1.2,0.7
RefrigerationDevices,2.1,1.0,2.5,1.9,0.0,0.0,3.8,1.0,1.5
ScreenType,1.0,1.6,1.4,2.2,2.4,0.0,1.8,0.9,4.7
ShapeletSim,3.1,5.6,15.0,4.7,0.0,0.0,4.1,1.3,10.2
ShapesAll,0.5,0.4,0.4,0.9,24.3,0.0,5.3,0.9,2.6
SmallKitchenAppliances,1.9,1.3,0.8,1.8,11.3,0.0,3.6,2.7,1.9
SonyAIBORobotSurface,1.3,0.7,1.3,1.9,4.5,0.0,10.9,2.3,9.9
SonyAIBORobotSurfaceII,0.7,0.5,0.5,1.0,7.4,0.0,6.7,1.7,4.3
StarLightCurves,0.2,0.9,0.3,0.5,16.1,0.0,1.2,0.2,0.2
Strawberry,0.5,0.3,0.4,0.9,0.0,0.0,0.6,0.3,2.0
SwedishLeaf,0.5,0.5,0.4,1.1,13.2,0.4,3.6,1.1,1.4
Symbols,1.0,1.0,2.3,1.9,16.9,0.0,11.5,0.7,8.8
ToeSegmentation1,0.9,0.5,0.6,2.6,2.7,0.0,2.5,2.2,3.2
ToeSegmentation2,1.9,3.3,1.7,2.8,30.9,0.0,15.2,2.8,4.6
Trace,0.7,0.0,0.0,1.8,27.7,0.0,5.4,2.5,1.9
TwoLeadECG,1.3,0.0,0.0,2.6,0.0,0.0,16.8,2.1,11.5
Two_Patterns,0.3,0.3,0.0,0.0,31.1,0.0,0.6,0.3,1.1
UWaveGestureLibraryAll,0.2,0.3,0.4,0.1,34.7,0.2,1.1,0.4,2.5
Wine,7.1,8.3,8.5,0.0,0.0,0.0,0.0,5.1,9.1
WordsSynonyms,0.8,1.2,1.5,0.9,13.6,0.0,6.1,0.8,3.0
Worms,2.4,2.2,2.5,3.7,0.0,0.0,5.5,2.5,4.5
WormsTwoClass,1.5,2.7,3.3,4.4,0.0,4.5,1.9,2.6,2.3
synthetic_control,0.4,0.3,0.2,0.3,27.8,0.0,1.2,0.4,1.6
uWaveGestureLibrary_X,0.3,0.4,0.4,0.4,21.3,0.4,1.5,1.1,1.5
uWaveGestureLibrary_Y,0.2,0.6,0.7,0.6,24.0,0.0,1.2,0.7,2.1
uWaveGestureLibrary_Z,0.2,0.5,0.4,0.5,18.4,0.0,1.8,0.9,2.0
wafer,0.0,0.0,0.1,0.0,4.4,0.0,0.3,0.1,0.5
yoga,0.4,0.7,0.9,0.6,0.0,0.0,3.9,0.7,1.9
